3.520786490370618749e-01, 1.011921981811523402e-01
8.842872630091423714e-02, 6.113601455688476294e-02
5.534948368972920224e-02, 5.652958259582519657e-02
4.153426653368676169e-02, 4.064213657379150274e-02
3.821133643864316892e-02, 3.821871166229248024e-02
2.768136826442911189e-02, 3.379556636810302633e-02
3.226903140386368218e-02, 3.392868671417236665e-02
2.489446797110932835e-02, 3.990196266174316636e-02
2.002180863092554303e-02, 2.963379459381103656e-02
2.008596661084510043e-02, 3.152966537475585668e-02
