3.519712505029871097e-01, 1.017413627624511735e-01
8.835322453462063352e-02, 6.112664718627929678e-02
5.518124533936064058e-02, 5.566376266479491908e-02
4.127676995035181595e-02, 4.128836631774902149e-02
3.813809279273164959e-02, 3.855888385772705124e-02
2.767625185561941106e-02, 3.400220832824706746e-02
3.218004452262786946e-02, 3.437712650299071943e-02
2.506287070981999543e-02, 4.003711833953857435e-02
2.021248408771575758e-02, 2.945674171447753772e-02
2.019493357139699047e-02, 3.148944854736328292e-02
