3.519156583525399062e-01, 1.018812232971191417e-01
8.828624924446673572e-02, 6.117536277770996289e-02
5.506666844829599672e-02, 5.609361839294433466e-02
4.119115445683611126e-02, 4.116239738464355646e-02
3.810653336187626306e-02, 3.850459918975829982e-02
2.779426695184504872e-02, 3.397997798919677459e-02
3.252735559610610283e-02, 3.483232879638671620e-02
2.492849711090960527e-02, 3.969038352966308691e-02
2.038255365605049982e-02, 2.909517021179199373e-02
2.011399319831361221e-02, 3.083071765899658354e-02
