3.520772981041289662e-01, 1.015747680664062513e-01
8.858634476014907999e-02, 6.130123558044433402e-02
5.513494544999396341e-02, 5.564332389831543046e-02
4.147551284032933300e-02, 4.093085937500000326e-02
3.823119235482621420e-02, 3.789368915557861373e-02
2.779214829206466675e-02, 3.390221195220947253e-02
3.219697862229448787e-02, 3.460713577270507768e-02
2.453403250175587719e-02, 3.972628440856933868e-02
2.008146182336705693e-02, 2.936405506134033214e-02
1.995562314194567616e-02, 3.077396240234375052e-02
